"Genre","Prof_P","Prof_M","Edu_P","Ed_M","Taille_Frat","Sit_Fami","R_C","Bac_serie","R_B","Etablissemen","Diplome2","Stage","Francais","Age","Age_Tranches","y2","Con_Pratiques","Con_informatique","Con_Commu","L_anglais","L_espa","classe","y1"
"1","2","2","3","2","1","1","2","1","2","1","2","2","1","24","1","1","2","1","1","1","2","2","0.00"
"2","3","2","1","1","3","2","2","3","2","1","3","2","2","34","3","1","1","1","1","1","2","3","0.00"
"2","1","2","3","1","2","2","2","1","2","2","5","1","1","28","2","1","1","2","2","1","2","3","0.00"
"2","2","2","2","2","2","1","2","3","1","1","2","1","1","26","2","1","2","1","1","1","1","2","0.00"
"2","1","2","3","2","2","2","2","1","2","1","2","1","1","23","1","1","2","1","1","1","2","3","0.00"
"1","1","1","3","3","1","1","2","1","2","2","1","2","1","23","1","1","1","1","1","1","2","2","0.00"
"1","1","1","3","2","2","1","2","1","2","2","1","1","2","23","1","2","1","1","1","1","2","3","0.00"
"1","1","2","3","2","2","1","2","1","2","2","1","1","2","23","1","1","1","1","1","2","2","1","0.00"
"1","1","2","3","2","1","1","2","1","1","2","1","1","2","25","1","1","1","1","1","2","2","1","0.00"
"1","1","1","3","3","1","1","2","1","2","2","1","1","1","23","1","1","1","1","1","2","2","1","0.00"
"1","4","2","1","1","1","1","2","3","2","1","2","2","2","30","3","1","2","2","1","2","2","4","1.00"
"1","2","2","1","1","3","1","2","1","2","2","3","1","2","28","2","1","1","1","1","1","2","4","1.00"
"1","3","2","2","1","3","1","2","1","2","1","2","1","1","26","2","2","1","1","1","1","2","1","0.00"
"1","1","2","1","1","2","1","2","1","2","1","2","1","2","25","1","1","1","1","1","1","2","2","0.00"
"1","1","1","3","3","2","1","2","","2","1","3","1","2","30","3","1","1","1","1","1","1","3","0.00"
"1","3","2","1","1","1","1","2","2","2","1","2","1","2","25","1","1","2","2","2","1","2","2","0.00"
"1","2","2","1","1","1","1","2","2","2","1","2","2","2","25","1","2","1","1","1","1","2","1","0.00"
"1","3","1","3","2","3","1","2","1","2","1","2","2","2","26","2","1","2","2","2","1","2","1","0.00"
"1","2","2","1","1","2","2","2","3","1","1","2","1","3","30","3","1","1","1","1","2","2","1","0.00"
"2","1","1","3","3","2","2","2","1","2","1","2","2","1","26","2","1","1","1","1","1","2","5","1.00"
"1","2","2","2","1","2","1","2","2","2","1","2","1","2","26","2","","2","1","2","1","2","1","0.00"
"2","1","2","2","1","2","1","2","3","2","1","2","2","2","24","1","1","1","1","1","1","2","2","0.00"
"1","2","1","3","3","2","1","2","1","2","2","3","1","2","26","2","","1","1","1","1","2","2","0.00"
"2","2","2","1","1","3","1","2","1","2","1","2","2","1","26","2","","1","1","2","1","2","3","0.00"
"1","1","1","3","3","2","1","2","2","2","1","2","1","2","26","2","1","1","1","1","1","2","3","0.00"
"1","2","2","3","2","3","1","2","1","2","1","2","1","3","28","2","1","1","1","1","2","2","3","0.00"
"1","2","2","2","1","2","1","2","1","2","1","2","2","2","26","2","1","2","2","2","1","2","3","0.00"
"2","2","2","2","1","2","1","1","3","1","1","2","2","2","29","2","1","1","1","1","1","2","4","1.00"
"1","2","1","2","2","1","1","2","2","1","1","2","2","2","26","2","2","1","1","1","1","2","3","0.00"
"2","2","2","3","2","2","1","2","1","2","2","1","1","2","23","1","1","1","1","1","1","2","2","0.00"
"2","2","2","2","1","2","1","2","3","2","1","2","1","2","29","2","2","1","1","2","1","2","3","0.00"
"1","2","2","3","3","2","1","2","2","1","1","2","2","1","28","2","1","2","2","2","1","2","3","0.00"
"1","3","2","1","1","1","1","2","2","2","1","2","2","2","28","2","1","2","2","1","1","2","3","0.00"
"1","4","2","1","1","1","1","2","","2","2","3","1","2","26","2","2","1","1","1","1","2","2","0.00"
"2","3","2","1","1","1","1","2","1","2","2","1","1","3","24","1","1","1","1","1","1","2","2","0.00"
"2","3","2","2","1","2","1","2","1","2","2","1","1","3","23","1","2","2","2","1","1","2","2","0.00"
"1","3","2","1","1","2","2","2","3","2","1","3","1","2","30","3","1","1","2","2","1","2","3","0.00"
"1","2","2","2","1","2","1","2","2","2","1","2","2","2","24","1","1","2","1","1","1","2","3","0.00"
"1","1","2","2","2","2","1","2","1","2","1","2","2","1","25","1","1","1","1","2","1","2","3","0.00"
"2","2","2","2","1","3","1","2","1","2","2","5","1","2","28","2","1","1","1","2","1","2","3","0.00"
"2","4","2","2","1","1","1","2","1","2","1","2","2","2","25","1","1","1","1","2","1","2","4","1.00"
"1","1","2","3","3","2","1","2","1","2","1","2","2","2","25","1","1","1","1","1","1","2","2","0.00"
"1","2","2","2","1","3","1","2","2","2","1","2","1","2","23","1","","1","1","2","2","1","2","0.00"
"2","3","2","1","1","2","2","2","1","2","2","5","1","2","30","3","1","1","1","2","1","2","3","0.00"
"1","2","1","2","2","2","1","2","1","2","2","3","1","1","25","1","","1","1","2","1","1","2","0.00"
"2","3","2","1","1","2","1","2","2","2","2","1","1","2","23","1","","1","1","1","1","2","4","1.00"
"2","2","1","3","2","3","2","2","2","2","1","3","1","2","30","3","1","1","2","1","1","2","3","0.00"
"2","2","2","2","1","2","1","2","1","2","1","3","1","2","29","2","1","1","1","1","1","2","3","0.00"
"2","2","2","2","1","3","1","2","1","2","1","2","1","3","26","2","1","2","2","2","2","2","3","0.00"
"2","4","2","1","1","2","1","2","1","2","1","2","2","2","25","1","1","1","1","1","2","2","3","0.00"
"2","2","1","2","2","1","1","2","1","2","1","2","1","2","25","1","1","1","1","2","1","2","2","0.00"
"2","1","2","3","2","2","1","2","1","2","2","1","1","2","23","1","1","1","1","1","1","2","2","0.00"
"1","4","2","1","1","3","1","2","3","2","1","2","2","2","25","1","1","2","2","2","2","2","2","0.00"
"1","3","2","1","1","2","1","2","2","2","1","2","1","3","26","2","","1","2","2","2","2","3","0.00"
"2","3","2","1","1","2","1","2","1","1","2","1","1","2","24","1","1","1","1","1","1","2","2","0.00"
"1","2","2","3","1","2","1","2","1","2","2","2","1","2","25","1","2","2","2","2","1","2","2","0.00"
"1","2","2","3","1","2","1","2","1","2","1","3","1","2","27","2","2","1","1","1","1","2","3","0.00"
"1","2","2","3","2","2","1","2","1","2","1","2","2","2","24","1","1","1","1","1","1","2","1","0.00"
"1","4","2","1","1","2","2","1","3","2","1","3","1","1","37","3","1","1","1","1","1","2","3","0.00"
"1","2","2","2","1","3","1","2","1","2","2","1","1","2","24","1","1","1","1","1","1","2","3","0.00"
"2","1","1","3","3","2","2","2","1","2","2","5","1","1","29","2","1","1","2","2","1","2","3","0.00"
"2","1","1","3","2","3","1","2","1","2","2","1","1","1","23","1","1","1","1","1","1","2","2","0.00"
"1","3","2","2","1","2","2","2","1","2","2","5","2","2","32","3","1","1","1","1","1","2","3","0.00"
"2","3","1","1","1","2","1","2","2","2","2","1","1","1","24","1","1","1","1","1","1","2","3","0.00"
"1","1","2","3","3","2","1","2","1","2","1","3","1","2","27","2","1","1","2","2","2","2","3","0.00"
"2","3","2","2","1","2","2","2","1","2","1","2","2","2","28","2","1","2","1","2","2","1","2","0.00"
"1","1","2","2","2","2","1","2","1","2","2","2","1","2","24","1","2","1","1","1","1","2","2","0.00"
"2","2","2","2","2","3","1","2","2","2","1","2","2","3","25","1","1","1","1","1","1","2","1","0.00"
"1","3","2","2","1","2","1","2","1","2","1","3","1","2","27","2","1","1","1","1","1","1","3","0.00"
"2","2","1","2","2","2","2","2","3","2","1","2","2","2","27","2","1","1","1","1","1","2","2","0.00"
"1","1","2","3","1","1","1","2","1","2","1","3","2","3","27","2","2","2","1","2","1","2","4","1.00"
"1","1","1","3","2","2","1","2","1","2","2","5","1","1","28","2","2","1","1","1","1","2","1","0.00"
"2","1","1","3","3","2","1","2","1","1","1","2","1","2","27","2","1","1","1","2","1","2","3","0.00"
"1","2","2","2","1","1","1","2","1","2","1","2","1","3","26","2","1","2","1","2","2","2","3","0.00"
"1","2","2","3","2","1","1","2","1","2","1","3","2","1","24","1","1","1","1","1","1","2","2","0.00"
"1","1","1","2","2","2","1","2","1","2","1","2","2","3","23","1","","2","2","2","1","2","2","0.00"
"1","3","2","1","1","1","1","2","1","2","1","2","1","3","26","2","1","1","1","1","2","2","2","0.00"
"1","2","1","2","2","2","1","2","1","2","2","2","1","3","25","1","2","1","1","1","2","2","2","0.00"
"1","1","2","2","2","3","1","2","1","2","1","2","1","2","27","2","1","1","1","1","1","2","2","0.00"
"1","1","1","2","2","1","1","2","1","1","1","2","1","2","26","2","1","2","1","1","1","2","1","0.00"
"1","4","2","1","1","3","2","1","3","2","1","2","1","1","59","3","2","1","1","1","1","2","3","0.00"
"1","2","2","3","2","1","1","2","1","2","1","3","1","2","26","2","1","1","1","1","1","2","3","0.00"
"1","2","2","1","1","2","1","2","1","2","1","2","2","3","27","2","1","1","1","1","1","2","4","1.00"
"1","2","2","2","1","2","1","2","1","2","1","2","1","2","32","3","2","1","2","2","1","2","3","0.00"
"1","2","1","3","3","2","1","2","1","2","1","2","2","2","25","1","1","1","1","1","1","2","2","0.00"
"2","2","2","2","1","2","1","2","3","1","1","2","2","1","27","2","1","1","1","1","1","2","2","0.00"
"1","2","1","2","3","1","1","2","1","2","1","3","1","1","26","2","","2","2","2","1","2","1","0.00"
"1","2","2","3","1","3","1","2","1","2","1","3","2","1","30","3","1","1","1","1","1","2","3","0.00"
"2","2","2","1","1","2","2","2","3","2","1","2","2","3","27","2","2","2","1","1","1","2","4","1.00"
"1","4","2","1","1","2","1","1","3","1","1","2","2","1","30","3","1","2","2","2","1","2","4","1.00"
"2","1","2","2","1","2","2","1","3","2","1","2","2","3","25","1","2","1","1","1","2","2","5","1.00"
"2","4","2","1","1","3","1","1","3","2","1","2","2","3","27","2","","2","1","1","2","2","1","0.00"
"1","4","2","1","1","1","1","1","3","2","1","2","2","2","27","2","2","2","2","2","2","2","4","1.00"
"2","2","1","2","2","3","2","2","3","1","1","2","2","3","25","1","2","2","1","1","1","2","4","1.00"
"2","3","2","2","1","3","2","1","3","1","1","2","2","2","26","2","2","1","1","1","1","2","3","0.00"
"1","3","2","1","1","2","1","2","3","2","1","2","2","2","33","3","1","2","2","2","1","2","2","0.00"
"1","4","2","1","1","1","1","2","3","1","1","3","2","1","32","3","","1","2","2","1","2","1","0.00"
"2","4","2","1","1","3","2","1","3","1","1","2","2","1","30","3","1","1","1","1","1","2","4","1.00"
"1","3","2","1","1","2","1","2","1","1","1","2","2","3","26","2","2","2","1","2","2","2","3","0.00"
"2","3","2","1","1","3","2","2","1","2","1","2","1","2","25","1","2","2","1","1","1","2","4","1.00"
"1","3","2","1","1","1","1","2","2","2","1","2","1","2","25","1","1","1","2","2","2","2","2","0.00"
"2","3","2","1","2","3","1","2","2","2","1","2","1","2","25","1","1","1","1","1","1","2","3","0.00"
"2","2","2","2","1","2","1","2","3","1","1","2","2","3","30","3","1","1","1","1","1","2","4","1.00"
"2","4","2","2","1","2","1","2","1","2","1","3","2","3","29","2","2","1","2","2","1","2","1","0.00"
"1","2","2","1","1","2","1","2","3","2","1","2","2","2","27","2","1","1","2","2","1","2","4","1.00"
"2","3","2","2","1","2","2","1","3","2","1","2","2","3","26","2","1","2","2","2","2","2","4","1.00"
"1","2","2","3","1","2","1","2","1","2","1","2","1","2","26","2","2","1","1","1","2","2","2","0.00"
"1","3","2","1","1","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","2","2","1","0.00"
"1","3","2","1","1","3","2","2","1","2","2","4","1","2","26","2","","1","1","1","1","2","3","0.00"
"1","1","1","3","3","1","1","2","1","2","2","4","1","2","26","2","1","1","1","1","1","2","3","0.00"
"1","3","2","1","1","2","1","1","3","2","1","2","2","2","27","2","","2","1","1","2","2","2","0.00"
"2","3","2","2","1","2","1","2","1","2","2","2","1","2","26","2","1","1","1","1","1","2","2","0.00"
"1","2","1","1","1","2","1","2","3","1","1","2","2","3","27","2","","1","1","1","1","2","4","1.00"
"2","2","2","3","1","2","1","2","1","2","1","2","2","2","24","1","2","1","1","1","1","2","2","0.00"
"2","3","2","2","1","2","1","2","1","2","1","2","1","2","24","1","2","1","1","2","1","2","2","0.00"
"1","2","1","1","3","2","1","2","1","2","1","2","2","1","24","1","1","1","1","1","1","2","2","0.00"
"1","2","2","2","1","2","1","2","1","1","2","4","1","2","28","2","1","1","1","1","1","2","3","0.00"
"2","2","2","2","2","2","1","2","1","2","1","2","2","1","25","1","1","1","1","1","1","2","2","0.00"
"1","3","2","2","1","3","2","2","1","2","2","5","2","1","33","3","","1","2","1","2","2","3","0.00"
"2","3","2","1","1","1","1","2","3","1","1","2","2","3","26","2","1","2","1","1","1","2","4","1.00"
"1","2","2","2","2","2","1","2","1","2","2","1","2","1","24","1","","1","1","1","1","2","1","0.00"
"2","1","2","2","2","1","1","2","1","2","2","1","1","3","23","1","1","1","1","1","2","2","1","0.00"
"1","1","1","3","1","2","1","2","2","2","1","3","1","1","29","2","2","1","1","1","1","2","3","0.00"
"1","1","1","2","2","2","2","2","1","2","2","5","1","1","32","3","1","1","1","1","1","1","3","0.00"
"2","2","1","3","3","2","2","2","1","2","2","5","1","2","29","2","1","1","2","2","1","2","3","0.00"
"2","3","2","1","1","2","2","2","1","2","1","2","2","2","25","1","1","1","1","2","1","2","1","0.00"
"2","3","2","1","1","2","1","2","3","2","1","2","2","2","26","2","2","1","1","1","1","2","4","1.00"
"2","3","2","1","1","2","1","2","1","2","1","3","2","2","30","3","","1","1","1","1","2","2","0.00"
"2","1","2","3","2","2","2","2","1","2","2","5","1","2","30","3","","1","1","2","1","2","3","0.00"
"2","2","2","2","2","3","1","2","3","1","1","2","2","2","28","2","1","2","1","1","1","2","4","1.00"
"1","2","2","3","2","2","1","2","3","2","1","2","2","2","27","2","2","1","1","1","1","2","4","1.00"
"2","2","2","2","2","3","1","2","3","1","1","2","2","2","28","2","2","2","1","1","1","2","4","1.00"
"1","1","1","3","3","2","1","2","1","2","2","5","2","1","29","2","2","1","1","1","1","2","1","0.00"
"2","2","2","2","1","2","1","2","1","2","2","3","2","2","35","3","1","1","1","1","1","1","3","0.00"
"1","3","2","2","2","2","1","2","1","2","2","1","2","2","23","1","1","1","1","1","1","2","1","0.00"
"1","1","1","3","3","1","1","2","1","2","2","1","1","1","23","1","1","1","1","1","1","2","1","0.00"
"1","2","2","1","1","2","1","2","1","2","1","2","1","2","25","1","1","1","1","1","1","2","2","0.00"
"1","2","2","2","2","1","1","2","1","2","2","1","1","2","23","1","1","1","1","1","1","2","1","0.00"
"1","2","2","1","1","2","1","2","3","2","1","2","2","2","26","2","1","2","2","2","2","2","3","0.00"
"2","3","2","2","1","2","1","2","1","2","1","2","1","2","26","2","2","1","1","1","1","2","2","0.00"
"2","4","2","2","1","2","1","2","1","2","1","2","1","3","24","1","","1","2","1","2","2","3","0.00"
"2","4","2","2","2","1","2","2","3","2","1","2","2","1","24","1","1","1","1","1","1","2","5","1.00"
"2","3","2","1","1","2","1","2","2","2","2","3","1","1","28","2","","1","1","1","1","2","2","0.00"
"1","2","2","3","2","2","1","2","1","2","1","2","1","2","26","2","","1","1","1","1","1","2","0.00"
"1","1","2","2","2","1","1","2","1","2","2","2","1","2","26","2","1","1","1","1","1","2","2","0.00"
"2","2","2","2","1","1","2","2","3","2","1","2","2","1","26","2","1","1","1","1","1","2","1","0.00"
"2","2","2","3","1","1","1","2","1","2","1","2","1","2","25","1","1","1","1","1","2","2","2","0.00"
"2","2","2","2","1","1","1","2","1","2","1","2","2","2","24","1","2","1","2","1","1","2","2","0.00"
"2","3","2","1","1","1","1","2","3","1","1","2","2","2","27","2","","1","1","1","1","2","2","0.00"
"2","4","2","2","1","3","1","2","1","2","1","2","1","1","27","2","","1","2","1","1","2","2","0.00"
"2","4","2","1","1","2","1","2","3","2","1","2","2","2","26","2","1","1","1","1","1","1","4","1.00"
"2","2","2","2","1","2","1","2","1","2","1","2","1","2","25","1","2","1","1","2","1","2","2","0.00"
"1","3","2","1","1","1","1","2","2","2","1","2","1","2","24","1","2","1","1","1","1","2","2","0.00"
"2","3","2","1","1","3","1","2","3","2","1","2","1","2","25","1","","2","2","2","2","1","2","0.00"
"2","4","2","2","1","3","1","2","1","2","1","3","1","2","26","2","","1","1","1","2","2","2","0.00"
"1","1","2","3","1","1","2","2","1","2","1","3","2","2","41","3","2","1","1","1","1","2","3","0.00"
"2","2","2","2","1","3","2","2","1","2","1","2","2","2","38","3","","1","2","2","1","2","2","0.00"
"2","3","2","1","1","2","1","2","1","2","1","2","2","2","25","1","","1","1","1","1","2","2","0.00"
"1","2","2","2","1","2","1","2","2","1","1","3","1","3","29","2","","1","1","2","2","2","4","1.00"
"1","2","2","1","1","1","1","1","3","1","1","2","2","2","29","2","1","2","2","2","1","2","3","0.00"
"2","3","2","2","1","3","2","2","3","2","1","2","2","2","25","1","1","1","1","1","1","2","2","0.00"
"2","3","2","2","2","2","1","2","1","2","1","3","1","2","26","2","","1","1","1","1","2","3","0.00"
"1","4","2","1","1","2","2","2","3","2","1","2","1","3","30","3","1","1","1","1","2","1","2","0.00"
"1","2","1","3","3","2","1","2","2","2","1","3","2","2","26","2","2","1","1","1","1","1","3","0.00"
"2","1","2","3","2","2","2","2","2","2","1","2","1","1","27","2","1","1","1","2","2","2","3","0.00"
"1","2","2","2","1","3","2","2","1","2","1","3","2","2","29","2","1","1","1","1","1","2","3","0.00"
"1","3","2","1","1","1","1","2","","2","2","2","1","2","26","2","1","1","1","1","1","2","2","0.00"
"1","2","2","1","1","2","2","2","1","2","1","3","2","2","45","3","1","1","1","1","2","2","3","0.00"
"1","2","2","2","1","1","1","2","3","1","1","3","2","1","31","3","1","1","1","1","2","1","1","0.00"
"1","1","2","2","1","2","1","2","1","2","2","1","2","1","24","1","1","1","1","1","1","2","5","1.00"
"2","1","1","3","2","2","1","2","1","2","1","2","2","1","25","1","","2","2","2","1","1","3","0.00"
"2","2","2","3","1","2","1","2","1","2","2","5","1","2","29","2","1","1","1","2","1","2","3","0.00"
"1","3","2","1","1","2","1","1","3","2","1","2","2","2","26","2","1","2","1","1","1","2","1","0.00"
"1","2","2","2","1","2","1","2","3","2","1","2","2","1","25","1","2","2","2","2","1","2","2","0.00"
"1","1","2","3","2","2","1","2","1","2","1","2","1","2","25","1","1","1","1","1","2","2","3","0.00"
"2","3","2","2","1","1","2","2","1","2","2","5","2","2","29","2","1","1","1","2","1","2","5","1.00"
"2","2","2","1","1","2","1","2","3","1","1","2","2","2","26","2","","2","2","1","1","2","4","1.00"
"1","3","2","1","1","2","1","2","1","1","2","3","1","3","26","2","2","2","1","2","2","2","2","0.00"
"2","3","2","1","2","2","1","2","1","2","1","2","2","2","27","2","2","1","1","1","2","2","1","0.00"
"1","2","2","2","2","1","1","2","1","2","1","2","2","2","23","1","1","1","1","1","2","2","2","0.00"
"1","3","2","3","2","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","1","2","3","0.00"
"2","3","2","2","1","1","1","2","1","2","1","2","2","1","24","1","1","1","1","1","2","2","1","0.00"
"1","3","2","2","2","2","1","2","1","2","1","2","2","2","27","2","","1","1","1","1","2","2","0.00"
"2","2","2","2","1","2","1","2","3","2","1","2","2","2","23","1","1","2","1","2","2","2","1","0.00"
"1","3","2","1","1","2","1","2","1","2","2","1","1","2","24","1","1","1","1","1","1","2","2","0.00"
"2","4","2","1","1","3","1","2","3","2","1","2","2","2","25","1","","2","1","2","1","2","1","0.00"
"1","2","2","2","2","1","1","2","1","2","1","2","2","2","26","2","","1","1","1","1","2","3","0.00"
"1","2","2","3","2","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","2","2","2","0.00"
"1","3","2","2","1","3","1","2","1","2","2","2","1","1","25","1","1","1","1","1","1","2","2","0.00"
"2","4","2","1","1","3","1","2","3","2","1","2","2","1","28","2","1","1","1","1","1","2","3","0.00"
"1","1","2","3","2","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","1","2","2","0.00"
"1","3","2","2","3","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","1","2","3","0.00"
"2","2","2","2","2","3","1","1","3","1","1","2","1","3","28","2","1","1","1","1","1","2","4","1.00"
"1","1","2","3","2","2","1","2","1","2","1","2","2","2","24","1","2","1","1","1","1","2","2","0.00"
"1","3","2","1","1","2","1","2","1","2","1","2","2","2","31","3","1","2","2","2","1","2","3","0.00"
"2","1","1","3","3","1","1","1","3","2","1","2","2","3","25","1","1","2","1","1","2","2","4","1.00"
"1","3","2","3","2","2","1","2","1","2","1","2","1","2","25","1","2","1","1","1","2","2","3","0.00"
"1","3","2","3","2","2","1","2","1","2","1","2","2","2","28","2","1","1","1","1","2","2","3","0.00"
"2","3","2","1","1","2","1","2","1","1","1","2","1","2","29","2","1","1","1","1","1","2","1","0.00"
"1","3","2","1","1","2","1","2","3","2","1","2","2","2","25","1","","1","1","1","2","2","2","0.00"
"1","1","2","1","3","1","1","2","1","1","1","2","2","2","28","2","1","1","1","1","1","2","2","0.00"
"2","2","2","3","2","2","1","2","1","2","1","3","2","1","27","2","2","1","1","1","1","1","4","1.00"
"2","2","2","2","3","2","1","2","3","1","1","2","2","2","28","2","2","1","1","1","1","2","4","1.00"
"1","2","2","3","2","2","1","2","1","2","1","3","1","2","28","2","2","1","1","1","1","2","4","1.00"
"2","2","2","3","3","2","2","2","1","2","1","3","2","2","26","2","1","1","1","1","1","2","3","0.00"
"2","1","2","3","2","2","2","2","1","1","1","2","1","1","28","2","","1","1","1","1","2","3","0.00"
"1","2","2","3","2","2","1","2","1","2","1","2","2","2","26","2","1","1","1","1","1","2","2","0.00"
"2","2","1","3","3","2","1","2","1","2","1","2","1","2","24","1","2","1","1","1","1","2","2","0.00"
"1","1","1","3","3","2","1","2","1","2","1","3","2","2","32","3","1","1","1","1","1","2","4","1.00"
"2","1","2","3","1","3","2","2","1","2","2","5","1","2","28","2","2","1","1","1","1","2","3","0.00"
"2","3","2","1","1","3","1","2","1","2","2","3","1","2","26","2","2","1","1","1","1","2","3","0.00"
"1","2","2","3","2","2","2","2","1","2","1","3","2","2","33","3","1","1","1","1","1","2","3","0.00"
"1","2","2","3","3","2","1","2","1","2","1","2","2","2","24","1","1","1","1","1","1","1","2","0.00"
"1","2","2","1","1","1","1","2","3","2","1","2","2","2","25","1","1","2","2","2","1","2","4","1.00"
"1","4","2","1","1","2","2","1","3","2","1","2","2","1","53","3","2","2","2","1","1","2","3","0.00"
"1","2","2","3","2","2","2","2","1","2","1","3","1","1","28","2","1","1","1","1","1","2","3","0.00"
"2","2","1","3","3","2","2","2","1","2","2","5","1","2","30","3","1","1","2","2","2","2","2","0.00"
"2","2","2","1","1","3","1","2","1","2","1","2","2","2","27","2","","1","1","2","2","1","4","1.00"
"2","3","2","2","1","3","2","1","2","1","1","2","2","1","28","2","1","1","1","1","1","2","1","0.00"
"1","2","2","2","1","3","1","2","1","2","1","2","2","2","26","2","1","2","1","1","1","2","4","1.00"
"1","2","2","2","2","3","2","2","1","2","1","3","2","1","30","3","2","1","2","1","2","2","3","0.00"
"2","1","2","3","2","3","1","2","2","1","1","2","1","2","25","1","2","1","1","1","1","2","2","0.00"
"1","2","2","1","1","1","1","2","1","2","1","2","2","1","27","2","1","2","1","1","1","2","4","1.00"
"1","2","2","1","1","2","1","2","3","2","1","3","2","3","31","3","1","2","2","1","1","2","4","1.00"
"1","1","2","3","1","3","1","2","1","1","1","2","1","2","29","2","","1","1","1","1","2","3","0.00"
"1","3","2","2","1","3","1","2","1","2","2","5","1","2","30","3","1","1","1","2","1","2","3","0.00"
"1","2","2","2","1","1","1","2","1","1","1","2","1","2","31","3","1","1","1","1","2","1","3","0.00"
"1","4","2","2","1","2","1","2","2","2","1","3","1","2","27","2","1","1","1","1","2","1","3","0.00"
"1","2","2","1","1","3","1","2","1","2","1","2","1","2","26","2","1","1","2","2","1","2","2","0.00"
"1","3","2","1","1","3","1","2","3","2","1","3","1","1","29","2","1","1","2","2","1","2","3","0.00"
"1","1","2","3","2","3","2","2","1","1","1","3","1","2","40","3","1","1","1","1","1","2","3","0.00"
"1","2","2","3","2","2","1","2","1","2","1","2","1","1","24","1","1","1","1","1","1","2","2","0.00"
"2","3","2","2","1","2","1","2","3","2","1","2","2","2","26","2","1","1","1","1","1","2","4","1.00"
"2","3","2","1","1","1","1","1","3","1","1","2","2","3","29","2","","1","1","1","2","2","4","1.00"
"2","1","1","3","3","3","1","2","1","2","1","2","2","1","26","2","","1","1","2","1","2","2","0.00"
"2","4","2","1","1","3","1","2","3","2","1","2","2","2","31","3","","2","2","2","1","2","4","1.00"
"2","3","2","2","2","1","2","2","1","1","1","3","2","2","27","2","2","1","1","2","1","2","3","0.00"
"1","3","2","2","1","1","1","1","1","2","1","2","2","1","29","2","1","1","1","1","1","1","3","0.00"
"1","3","2","1","1","2","1","2","1","2","1","2","1","1","25","1","1","1","1","1","1","2","3","0.00"
"1","3","2","2","1","2","2","2","1","2","1","3","1","3","31","3","1","1","1","1","1","2","1","0.00"
"2","2","2","3","2","2","2","2","1","2","1","2","2","1","24","1","1","1","1","1","1","2","2","0.00"
"2","3","2","1","1","3","2","1","3","1","1","2","2","3","32","3","1","2","1","1","1","2","3","0.00"
"2","3","2","1","1","3","1","2","3","2","1","2","2","3","26","2","1","2","2","1","2","2","3","0.00"
"1","1","2","3","1","3","1","2","1","2","1","2","1","1","27","2","1","1","1","1","1","2","3","0.00"
"1","1","2","3","2","2","1","2","1","2","2","3","2","2","27","2","2","1","1","1","1","2","1","0.00"
"2","2","2","1","1","3","2","2","1","2","1","2","1","3","26","2","1","2","1","1","2","2","2","0.00"
"1","3","2","2","1","1","2","2","1","2","1","2","1","2","25","1","2","1","2","2","1","2","3","0.00"
"1","2","2","1","1","3","2","2","1","1","1","2","1","2","38","3","1","1","1","1","1","2","3","0.00"
"1","1","1","2","2","3","2","2","1","2","1","3","1","1","29","2","1","1","1","2","1","2","3","0.00"
"1","2","2","2","1","1","1","2","1","2","1","3","1","1","29","2","1","1","1","1","1","2","4","1.00"
"1","3","2","1","1","1","2","2","1","1","1","2","1","2","27","2","2","1","1","1","1","2","1","0.00"
"1","3","2","1","1","2","2","2","1","2","1","3","1","2","30","3","1","1","1","1","2","2","3","0.00"
"1","2","2","1","1","2","1","2","3","1","1","2","2","3","26","2","1","1","1","1","1","2","2","0.00"
"2","2","2","3","1","2","1","2","1","2","1","3","1","1","28","2","2","2","2","2","1","2","1","0.00"
"1","3","2","2","3","1","2","2","1","2","1","2","2","1","25","1","1","1","1","1","1","2","1","0.00"
"1","2","2","2","1","2","1","1","1","1","2","3","1","2","28","2","1","1","1","1","1","2","2","0.00"
"1","3","1","3","3","1","1","2","1","2","2","5","1","2","30","3","1","1","2","1","1","2","1","0.00"
"2","2","2","1","1","3","1","2","1","2","1","2","2","2","27","2","1","1","1","1","1","2","3","0.00"
"2","1","1","3","2","2","2","2","1","2","2","5","1","1","27","2","1","1","1","2","1","2","3","0.00"
"2","1","1","3","3","2","1","2","3","2","1","2","2","1","24","1","1","1","1","1","1","2","2","0.00"
"1","3","2","1","1","2","2","2","3","2","1","3","2","2","27","2","1","2","2","1","2","1","1","0.00"
"1","2","2","2","1","1","1","2","1","1","1","2","1","2","26","2","1","1","1","1","1","2","1","0.00"
"2","2","2","2","1","3","1","2","3","2","1","2","2","3","26","2","1","1","1","1","2","2","4","1.00"
"2","3","2","1","3","2","1","2","1","2","1","2","1","3","25","1","2","2","1","2","1","2","3","0.00"
"2","1","2","3","1","2","1","2","1","2","2","5","2","2","28","2","1","1","1","2","2","2","3","0.00"
"2","2","1","3","3","2","1","2","1","2","2","4","1","2","25","1","1","1","1","1","1","2","1","0.00"
"1","3","2","1","1","2","1","2","1","1","2","2","1","2","27","2","","2","1","2","2","2","4","1.00"
